model_name,accuracy,accuracy_std,f1_macro,f1_macro_std
Logistic Regression Classification,0.8716981132075471,0.0094129745579218,0.6863734362879841,0.0407582832210158
Logistic Regression Classification with LBFGS,0.879245283018868,0.0061622383466243,0.6915625838889466,0.0455922673812266
SVM Linear Kernel,0.879245283018868,0.0121954210249467,0.7001492604369957,0.0535127290050834
SVM RBF Kernel,0.8805031446540881,0.0097433543300815,0.6811093784085552,0.0344274134560349
SVM Polynomial Kernel,0.8855345911949687,0.0047064872789609,0.6983782465267091,0.0181524255566145
Random Forest Classification,0.8767295597484276,0.0050314465408805,0.6872041314097486,0.042658636116422
XGBoost Classification,0.8830188679245283,0.0064138610233871,0.7029367903320465,0.0263677839171948
k-NN Classification,0.8616352201257861,0.0056253282452824,0.6334337622511906,0.0156658176462388
Naive Bayes Classification,0.8628930817610063,0.02823892367376559,0.6956366984026334,0.06625584564627235
