model_name,accuracy,accuracy_std,f1_macro,f1_macro_std
Logistic Regression Classification,0.7666666666666666,0.0095939932994203,0.685137082434366,0.0233542011808807
Logistic Regression Classification with LBFGS,0.764102564102564,0.0173905897003212,0.6690072760982891,0.0430774606874689
SVM Linear Kernel,0.764102564102564,0.0102564102564102,0.6692931026659028,0.024609281707005
SVM RBF Kernel,0.7564102564102564,0.0181309431073473,0.6635877854410804,0.0371240395956567
SVM Polynomial Kernel,0.7692307692307692,0.0162168085136839,0.6664072879200724,0.0302265127478911
Random Forest Classification,0.741025641025641,0.047557017925619,0.6475188895017651,0.0229394046188682
XGBoost Classification,0.7487179487179487,0.0287819798982611,0.6584765985705278,0.0498173801030823
k-NN Classification,0.7410256410256411,0.0328365345509376,0.6424311086140648,0.0294430612097734
Naive Bayes Classification,0.7615384615384615,0.030982169163063008,0.6988109922763198,0.04161269556231654
