model_name,accuracy,accuracy_std,f1_macro,f1_macro_std
Logistic Regression Classification,0.8,0.0219315670115253,0.6816046831485408,0.0368565955214138
Logistic Regression Classification with LBFGS,0.8037735849056604,0.024325886296621,0.6858154477486658,0.0437855361129639
SVM Linear Kernel,0.8,0.0140069543718994,0.6576400461568481,0.0369110251505893
SVM RBF Kernel,0.791194968553459,0.0196484268576268,0.6451490730178708,0.0237060720573543
SVM Polynomial Kernel,0.7823899371069183,0.022711283126123,0.6169493810138678,0.0425385211617925
Random Forest Classification,0.7836477987421384,0.0216410698541953,0.6382327328013794,0.014807868953935
XGBoost Classification,0.8062893081761008,0.0156096523848941,0.6840577396499868,0.0375746912466235
k-NN Classification,0.7861635220125787,0.0119331232459184,0.6380369967779824,0.0448598154171611
Naive Bayes Classification,0.7823899371069183,0.01232447669324869,0.6650132552478312,0.041710533889768635
