model_name,accuracy,accuracy_std,f1_macro,f1_macro_std
Logistic Regression Classification,0.7220125786163522,0.0170624653663528,0.7184862572027173,0.0194799878911468
Logistic Regression Classification with LBFGS,0.720754716981132,0.016206413492736,0.7170126280986298,0.0185189252752834
SVM Linear Kernel,0.7132075471698112,0.0208971669507372,0.7088447254309341,0.0242434594185341
SVM RBF Kernel,0.7132075471698113,0.016206413492736,0.7085868779583077,0.0195626796397337
SVM Polynomial Kernel,0.690566037735849,0.0108205349270976,0.6890387034169464,0.0184064182601879
Random Forest Classification,0.6981132075471697,0.0225013129811299,0.6804021460008582,0.0251945132078967
XGBoost Classification,0.7194968553459119,0.0343559755565979,0.7153708367939997,0.0364192232709692
k-NN Classification,0.6742138364779874,0.0326559873855274,0.6605697695633541,0.0287988577715616
Naive Bayes Classification,0.6918238993710691,0.02028240942968188,0.6871695876725701,0.02139803245289013
