model_name,accuracy,accuracy_std,f1_macro,f1_macro_std
Logistic Regression Classification,0.735897435897436,0.0276162297801769,0.7239584366523426,0.02805481532017
Logistic Regression Classification with LBFGS,0.7461538461538462,0.0307692307692307,0.7355123672702506,0.0319850292252324
SVM Linear Kernel,0.7333333333333334,0.037509586764943,0.7187619255216562,0.0416248380646045
SVM RBF Kernel,0.7410256410256411,0.0400525624405469,0.7284063370056927,0.0439307212766655
SVM Polynomial Kernel,0.6538461538461539,0.0479699664971018,0.6305361945730602,0.0488489630396632
Random Forest Classification,0.6948717948717948,0.0235003881792607,0.7021445137577371,0.034154354809552
XGBoost Classification,0.6871794871794872,0.029902317409463,0.6754941148976721,0.02780186354445
k-NN Classification,0.6641025641025641,0.0261488180184245,0.6503830100727941,0.0368000928091297
Naive Bayes Classification,0.6897435897435897,0.01884222879063984,0.6761545976262571,0.01825754199072555
