model_name,accuracy,accuracy_std,f1_macro,f1_macro_std
Logistic Regression Classification,0.8440251572327044,0.0025157232704402,0.457707041861113,0.0007383158041373
Logistic Regression Classification with LBFGS,0.7748427672955975,0.0352201257861635,0.679652105037248,0.0352038495081982
SVM Linear Kernel,0.7723270440251573,0.0392565698976786,0.6771853522963155,0.0314676545688882
SVM RBF Kernel,0.8402515723270441,0.0348134654165988,0.6968445566558072,0.0176325520884432
SVM Polynomial Kernel,0.8616352201257861,0.0182281468505527,0.6679840211939588,0.041507079784933
Random Forest Classification,0.8767295597484276,0.0171549455307998,0.6974345888057016,0.0613266912483335
XGBoost Classification,0.8566037735849058,0.03216782855986018,0.7032905015205986,0.03393657477253737
