model_name,accuracy,accuracy_std,f1_macro,f1_macro_std
Logistic Regression Classification,0.7487179487179487,0.0535400333790284,0.7009040852136185,0.0631184806574176
Logistic Regression Classification with LBFGS,0.7487179487179486,0.0497197934093982,0.7008319821020879,0.0570123231545558
SVM Linear Kernel,0.7384615384615384,0.0470007763585214,0.690690941524832,0.0542748860509603
SVM RBF Kernel,0.7435897435897436,0.0606777413651242,0.6955235173138113,0.0686136694469205
SVM Polynomial Kernel,0.723076923076923,0.0385469137906997,0.644544428376086,0.040512534672541
Random Forest Classification,0.7384615384615384,0.028781979898261,0.6579739861019208,0.0381940741504996
XGBoost Classification,0.7153846153846153,0.0328365345509376,0.6525895693063711,0.0209795314951567
k-NN Classification,0.7256410256410256,0.0402163772855336,0.6565826300419091,0.0402629544767938
Naive Bayes Classification,0.7333333333333334,0.02051282051282049,0.6815814073993692,0.029039799347733826
