model_name,accuracy,accuracy_std,f1_macro,f1_macro_std
Logistic Regression Classification,0.7025641025641025,0.0564102564102563,0.6986179077170603,0.0603596530845894
Logistic Regression Classification with LBFGS,0.7025641025641025,0.0665679742858829,0.7013162783735332,0.0675938213534737
SVM Linear Kernel,0.7,0.0576780609189845,0.6988679132371607,0.0580886839491501
SVM RBF Kernel,0.676923076923077,0.0347811794006423,0.6757441345588546,0.034734637472135
SVM Polynomial Kernel,0.6512820512820513,0.0357138160953438,0.6457503718240867,0.0365592352130267
Random Forest Classification,0.6974358974358974,0.0368017951138649,0.6937404568512464,0.0433409471291887
XGBoost Classification,0.6717948717948719,0.0237785089628094,0.6768428352576585,0.0253948909690428
k-NN Classification,0.658974358974359,0.0576780609189845,0.6316316089816376,0.0364270799323779
Naive Bayes Classification,0.6666666666666666,0.054392829322042126,0.6637443991753981,0.05988675523921023
